,keys,value
637,need,"{'1205, 2': 'You apply a bandaid or other covering if needed.', '367, 3': 'Transport the water to the parts of the plant where the water is needed.', '367, 6': ""The plant uses water to circulate the glucose around the plant to deliver the glucose to where it's needed."", '548, 6': 'The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed.', '846, 5': 'The kidneys strain the urea and salts needed from the blood.'}"
638,need,"{'828, 5': 'The steam is denser than air so it needs a place to go.', '874, 1': 'The oil needs to be pumped from the ground.'}"
639,nitrifying,"{'660, 7': 'Nitrifying bacteria convert ammonium to nitrate.'}"
640,nurse,"{'529, 2': 'Rabbits are (only occasionally) nursed by their mothers.'}"
641,nurture,"{'637, 2': 'The bird is nurtured by its parents.'}"
642,observe,"{'436, 5': 'Begin to observe small bubbles in the water.'}"
643,obtain,"{'293, 1': 'Cells obtain glucose and oxygen.', '293, 5': 'The cells obtain more oxygen from the air.', '367, 1': 'Plants obtain water through the soil they are growing in.'}"
644,occur,"{'1142, 6': 'Conflict with other animals occur.', '318, 6': 'Erosion starts to occur.', '731, 1': 'A stream or river must occur.'}"
645,occur,"{'511, 5': 'A solar eclipse is occurring.'}"
646,occur,"{'1051, 3': 'A chemical reaction occurs.', '1073, 6': 'When the positive and negative charges grow large enough, a giant spark, called lightning occurs.', '1145, 2': 'Formation occurs when the star runs out of hydrogen fuel.', '229, 2': 'A large amount of rain occurs.', '608, 5': 'An explosion occurs in the engine forcing the piston back upwards.', '695, 4': 'Precipitation occurs when so much water has condensed that the air cannot hold it anymore.', '701, 6': 'Global warming occurs.', '915, 3': 'Sediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay.', '915, 6': 'Sediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides.', '947, 3': 'Condensation occurs when water vapor turns into tiny particles of water/ice.', '947, 5': 'Precipitation of rain/snow occurs when wind/temperatures change.', '949, 6': 'Precipitation occurs.'}"
647,open,"{'1046, 1': 'Open the Dishwasher.', '1091, 7': 'Open the presents.', '229, 7': 'The dam will occasionally open its gates again to gradually release more water.', '287, 5': 'Open the freezer.'}"
648,open,"{'1058, 3': 'The detergent dispenser opens at the right time.', '1208, 7': 'Exhaust valve opens to vent exhaust out tail pipe.', '229, 4': 'The dam opens its floodgates when it starts to get full.', '565, 7': ""An outlet valve opens and the piston pushes the steam back through the cylinder and out up the locomotive's chimney."", '609, 1': 'The piston starts at the top, the intake valve opens, and the piston moves down to let the engine take in a cylinder-full of air and gasoline.', '609, 6': 'Once the piston hits the bottom of its stroke, the exhaust valve opens and the exhaust leaves the cylinder to go out the tailpipe.', '610, 7': 'The exhaust valve opens.', '828, 9': 'The valve on the next piston opens.'}"
649,oppose,"{'207, 5': 'Opposing pairs of muscles exist in order to provide the necessary range of motion.'}"
650,orbit,"{'511, 1': 'The moon orbits the earth.', '511, 2': 'The earth orbits the sun.'}"
651,oxidize,"{'1051, 4': 'The iron starts to oxidize.'}"
652,oxygenate,"{'771, 4': 'The lungs oxygenate the blood in the body.', '896, 7': 'The lungs oxygenate the blood.'}"
653,oxygenated,"{'1190, 7': 'Oxygenated blood enters the left atrium.', '924, 8': 'The heart pumps the oxygenated blood to the body.'}"
654,pack,"{'1016, 2': 'Pack essential items in your suitcase such as underwear/socks.', '1085, 1': 'Pack up your camping gear, food, and clothes.', '1087, 1': 'You pack up your car with food, tents, sleeping bags, etc.'}"
655,pack,"{'1063, 5': 'The satellite is packed into a capsule.', '514, 3': 'The snow starts to become packed very firmly.'}"
656,partake,"{'1091, 2': 'Partake in activities.'}"
657,pas,"{'1158, 8': 'Nutrients pass through wall of small intestine.', '1183, 4': 'The filter allows water and mineral ions like fluoride to pass through.', '1333, 5': 'Microwaves pass through the food.', '411, 4': 'Signals from the photoreceptor cells pass through a network of interneurons in the second layer of the retina to ganglion cells in the third layer.', '545, 4': 'Prevents larger molecules to pass.', '783, 5': ""The seeds pass through the animal's digestive system."", '942, 5': 'The oxygen is pass throughout your body.'}"
658,pas,"{'1055, 4': 'Only wanted elements are passed to within the plant.', '1158, 10': 'Unused materials passed into large intestine to become fecal matter.', '1226, 5': 'The broken down food can be passed.', '165, 5': 'Is then passed to the small intestine.', '547, 2': 'The blood is passed through the nephrons in the kidneys.', '924, 6': 'The blood is passed to the blood in the capillaries.'}"
659,pas,"{'1053, 1': 'Sunlight passes through the glass into the greenhouse.', '1189, 2': 'The rock passes through the atmosphere.', '1293, 10': 'The water passes through the grounds and becomes coffee.', '1294, 8': 'The hot water passes through the grounds.', '140, 2': 'The oxygen passes through the bronchial tubes to the lungs.', '254, 2': 'The animal passes by the plant.', '38, 5': 'Time passes on and the rock forms.', '397, 1': 'Wind passes the turbines and moves the blades.', '410, 2': 'Light passes to the iris.', '489, 9': 'The food passes into the colon.', '542, 3': 'Blood passes through nephrons in the kidney.', '617, 4': 'In the alveoli, air passes into the blood within small capillaries.', '644, 10': 'The person retires and eventually passes away.', '667, 5': 'Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.', '686, 1': 'Carbon dioxide passes through stomata in the leaves.', '687, 1': 'Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.', '770, 6': 'Oxygen passes through alveoli into blood vessels.', '796, 2': 'Passes through the lungs.', '924, 5': 'Oxygen passes through the sacks into capillaries.', '939, 1': 'Carbon dioxide from the air passes through small pores (holes) in the leaves.', '939, 4': 'It passes through vessels in the stem on its way to the leaves.'}"
660,passing,"{'1132, 3': 'The bees evaporate the nectar by passing it back and forth to each other.'}"
661,pasteurize,"{'1303, 5': 'The food is considered pasteurized.'}"
662,patch,"{'1025, 4': 'Patch the hole in the tire or replace with a new tire on the wheel.'}"
663,peck,"{'635, 3': 'The baby bird begins pecking out of the egg.'}"
664,penetrate,"{'908, 7': 'When they do this their roots penetrate pores and crevices and cause rocks to split apart as the roots force their way down through the rocks.'}"
665,perform,"{'661, 9': 'There are special bacteria that perform this task as well.', '925, 5': 'Your lungs and respiratory system automatically perform this vital process, called gas exchange.'}"
666,permeate,"{'316, 3': 'It permeates the wood.'}"
667,pick,"{'11, 6': 'The waves pick up sand and small rocks from the beach.', '1128, 5': 'If the pressure in the center drops even further and the winds really pick up and forms a clearly defined ""eye"" it\'s a hurricane.', '214, 1': 'Animals pull a fruit off a plant or pick a fruit up from the ground.', '433, 2': 'Pick a spot to plant them.', '78, 2': 'The wind and water pick up sediment that came off the rocks.', '882, 2': 'Recycling trucks pick up the items that are able to be reused.'}"
668,pick,"{'20, 6': 'The sediment is picked up again by new wind or water.', '432, 2': 'The trash is picked up by workers who put it on a garbage truck.', '617, 6': 'The dissolved oxygen is picked-up by red blood cells.', '630, 3': 'Trash is picked up by a sanitation company.', '795, 5': 'Oxygen is left and carbon dioxide is picked up.'}"
669,pick,"{'1113, 1': 'Rainwater picks up carbon dioxide from the air.', '1190, 6': 'Blood picks up oxygen in the lungs.', '1260, 1': 'The spider picks a suitable place.', '1265, 1': 'The bird picks a tree.', '1266, 1': 'A bird picks a spot high spot, often in a tree.', '20, 3': 'Wind or water picks up the sediment.', '31, 2': 'Rain picks up carbon dioxide as it falls to earth.', '445, 3': 'Over time the rock picks up sediment which changes the type of rock.'}"
670,pile,"{'4, 4': 'Large amounts of sediment gradually pile on top of the original sediment.', '69, 2': 'Dead plants and trees pile up at the bottom of swamps.'}"
671,pinch,"{'1170, 8': 'The cell membranes pinch.'}"
672,pipe,"{'468, 4': 'Gaseous water is piped into another container.'}"
673,pitch,"{'232, 1': 'Bats and other animals produce a high-pitched tone.'}"
674,place,"{'1014, 4': 'Place the cake in the oven to cook.', '1046, 5': 'Place the dish in the rack.', '1048, 4': 'Place all the utensils in the utensil basket.', '1083, 2': 'You place a pumpkin seed in the hole.', '1295, 1': 'Place the water in a pot.', '1295, 3': 'Place a larger pot under the first.', '157, 1': 'You place aluminum cans and other products into recycling bins.', '287, 6': 'Place the tray in the freezer.', '301, 1': 'Place your non dominate foot on the front of the skateboard.', '484, 4': 'Place the letter into an envelope.', '629, 5': 'Workers take the plastic bag out of the garbage can and place it in the truck.', '706, 4': 'Place it into an envelope.', '807, 3': 'Place the tray in the freezer.', '808, 3': 'You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.'}"
675,place,"{'1029, 4': 'Oil is placed into a stove in the house.', '1047, 2': 'Placed into the dishwasher.', '1060, 1': 'Dirty dishes are placed in the dishwasher.', '1061, 7': 'Once in orbit the satellite will be placed where it was planned.', '1266, 3': 'The sicks and grasses are placed between support branches.', '1294, 3': 'A filter is placed in the basket.', '393, 1': 'The coal is placed in a heater.', '396, 1': 'Uranium fuel is placed in the nuclear reactor.', '423, 4': 'The coal is placed into carts or on a conveyor belt.', '430, 6': 'The trash is placed into a truck.', '630, 1': 'Trash is placed into a garbage container in the house.', '872, 2': 'A pipe is placed in the hole.', '872, 5': 'Oil is placed in barrels.', '882, 1': 'Items that can be reused are placed into recycling containers.'}"
676,place,"{'1048, 1': 'Rinse the dishes before placing them in a dishwasher.'}"
677,plan,"{'1061, 7': 'Once in orbit the satellite will be placed where it was planned.'}"
678,plant,"{'1084, 2': 'Plant the pumpkin seeds in soil.', '433, 2': 'Pick a spot to plant them.', '435, 1': 'You plant vegetable seeds in the ground.', '690, 4': 'The farmer tills again to plant the seeds.'}"
679,plant,"{'321, 4': 'Seeds are planted in the field.', '531, 1': 'A seed or seeds planted into the ground.', '534, 1': 'A seed is planted.', '648, 1': 'A seed is planted.', '648, 6': 'Seeds are planted.', '653, 1': 'A seed is planted.', '689, 2': 'The earth where the seeds are planted is given water and fertilizer.'}"
680,plug,"{'758, 6': 'When you plug something in to the outlets of the generator, a flow of current will conduct electrons.'}"
681,pollinate,"{'443, 5': 'The flower is pollinated.', '745, 5': 'The flower is pollinated.'}"
682,pollinate,"{'743, 5': 'The pollen sac falls off and pollinates the plant.'}"
683,pollute,"{'977, 6': 'The polluted rain becomes acid rain.'}"
684,pop,"{'1290, 4': 'When most of the bubbles pop on the surface, flip.', '807, 6': 'Pop the ice cubes out of tray.'}"
685,pour,"{'1014, 3': 'Pour the mixture into a cake pan.', '1015, 6': 'Pour the batter into the greased cake pan.', '1290, 3': 'Pour a circle of batter in the griddle.', '1291, 5': 'Pour batter onto the griddle.', '433, 5': 'Pour some water on the seed and hold.'}"
